# dev-assets/heart/VH_M_Heart.glb
# every number below comes from scripts/lib/mesh-metrics.mjs, checked in tests/mesh-metrics.test.js
name	triangles	components	boundary@1µm	boundary@10µm	nonManifold@1µm	degenerateTris	closedManifold	genus	signedVolumeMl	volumePrecondition	transversalMode	transversalHistogram
VH_M_mitral_valve	6468	1	0	0	0	0	yes	1	3.14	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	2	2x62 4x34 0x32
VH_M_tricuspid_valve	12490	1	0	0	0	0	yes	1	4.24	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	0	0x68 4x31 2x29
VH_M_aortic_valve	2680	1	72	72	0	0	no	-	-16.29	not met — open, non-manifold or several pieces	4	4x88 2x21 0x12 3x7
VH_M_pulmonary_valve	13288	1	0	0	0	0	yes	1	1.24	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	0	0x48 8x32 2x18 4x16
VH_M_papillary_muscle_of_heart_anterior	638	1	42	42	0	0	no	-	-3.36	not met — open, non-manifold or several pieces	2	2x103 1x24 3x1
VH_M_papillary_muscle_of_heart_anterolateral	518	1	0	0	0	0	yes	0	1.13	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	2	2x127 4x1
VH_M_papillary_muscle_of_heart_medial	152	1	26	26	0	0	no	-	3.19	not met — open, non-manifold or several pieces	1	1x77 2x51
VH_M_papillary_muscle_of_heart_posterior	131	1	21	21	0	0	no	-	3.65	not met — open, non-manifold or several pieces	1	1x75 2x52 3x1
VH_M_papillary_muscle_of_heart_posteromedial	576	1	0	0	0	0	yes	0	1.19	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	2	2x126 4x2
VH_M_left_cardiac_atrium	33946	1	0	0	0	0	yes	4	31.35	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	4	4x93 2x31 6x4
VH_M_right_cardiac_atrium	48186	3	3	3	134	1554	no	-	27.71	not met — open, non-manifold or several pieces	4	4x75 2x42 6x9 0x2
VH_M_heart_right_ventricle	27622	1	0	0	0	0	yes	26	73.99	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	4	4x93 2x19 6x15 8x1
VH_M_interventricular_septum	8074	1	0	0	0	0	yes	0	28.09	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	2	2x116 4x12
VH_M_heart_left_ventricle	9350	1	0	0	0	0	yes	0	121.60	partly met — closed, manifold, 1 piece; orientation and self-intersection NOT checked	4	4x113 2x15
